Обозначение	D-d	Ход	Установочный размер	Технические особенности	Область применения	Подвод	Монтажно-конструктивные особенности	Применяемость
КГЦ186-01.125-80-500	125-80	500	1000		Экскаваторы	Колодки фланцевого зажима	Отв. D=105	"Подъем стрелы, опор экскаваторов ЭО-3323А; ЕК-14,-18."
КГЦ186-02.125-80-800	125-80	800	1300		Экскаваторы	Колодки фланцевого зажима	Отв. D=105	"Подъем стрелы, опор экскаваторов ЭО-3323А; ЕК-14,-18."
КГЦ186-03.125-80-900	125-80	900	1400		Экскаваторы	Колодки фланцевого зажима	Отв. D=105	"Подъем стрелы, опор экскаваторов ЭО-3323А; ЕК-14,-18."
КГЦ186-04.125-80-1000	125-80	1000	1500		Экскаваторы	Колодки фланцевого зажима	Отв. D=105	"Подъем стрелы, опор экскаваторов ЭО-3323А; ЕК-14,-18."
КГЦ186-05.125-80-1100	125-80	1100	1600		Экскаваторы	Колодки фланцевого зажима	Отв. D=105	Машина штабелирующая А-30
КГЦ186-06.125-80-1250	125-80	1250	1750		Экскаваторы	Колодки фланцевого зажима	Отв. D=105	"Подъем стрелы, опор экскаваторов ЭО-3323А; ЕК-14,-18."
КГЦ186-08.125-80-1400	125-80	1400	1900		Экскаваторы	Колодки фланцевого зажима	Отв. D=105	"Подъем стрелы, опор экскаваторов ЭО-3323А; ЕК-14,-18."
КГЦ186-10.125-80-1000	125-80	1000	1500		Экскаваторы	Колодки фланцевого зажима	Отв. D=105	Стрелы машины 527
КГЦ190Б.72-63-500	72-63	500	800	Плунжерный	Лида-Гомель	1 отв. М20?1.5	Проуш. S=28 с GE25ES-2RS	Подъема наклонной камеры КЗС-1218
КГЦ190Б-01.72-63-800	72-63	800	1100	Плунжерный	Лида-Гомель	1 отв. М20?1.5	Проуш. S=28 с GE25ES-2RS	Подъема наклонной камеры КЗС-1218
КГЦ190Б-02.72-63-400	72-63	400	700	Плунжерный	Лида-Гомель	1 отв. М20?1.5	Проуш. S=28 с GE25ES-2RS	Подъема наклонной камеры КП-4
КГЦ214.30-25-250	30-25	250	395		Лида-Гомель	2 отв. М12?1.5	Отв. D=21, резьба М18?1.5	"Перемещение мотовила комбайнов ""Лида - 1300""; КЗC-7,  КЗР-10."
КГЦ215.35-25-250	35-25	250	395		Лида-Гомель	2 штуц. М14?1.5	Отв. D=21, резьба М18?1.5	"Верт. перемещ. мотовила комбайнов ""Лида - 1300""; КЗC-7,  КЗР-10."
КГЦ220.110-40-200	110-40	200	515		МТЗ	2 отв. М20?1.5	Вилки с отв. D=25	Навеска BELARUS-800/900
КГЦ226.100-40-200	100-40	200	515		МТЗ	2 отв. М20?1.5	Вилки с отв. D=25	Навеска BELARUS-800/900/510/82.3
КГЦ226А.100-40-200	100-40	200	515		МТЗ	2 отв. М20?1.5	Вилки с D=25 и  пазом S=28 мм 	Гидроцилиндр задней навески тракторов МТЗ серий: 800, 900 и 500
КГЦ227А.50-32-250	50-32	250	533		Сельхозтехника	2 отв. М16?1.5	Вилка с отв. D=25.5, резьба М27х2	Для жатки ЖВЗ-7.0.
КГЦ228А.80-40-400	80-40	400	711		Сельхозтехника	2 отв. М20?1.5	Вилка с отв. D=26, резьба М27х2, М39х2	Подъём жаток ЖВЗ -7.0, ЖВЗ -9.2, ЖВЗ -10.0, ЖВЗ -10.7 
КГЦ230.125-50-200	125-50	200	515		МТЗ	2 отв. М20?1.5	Вилки с отв. D=25	Задняя навеска BELARUS-1221/1523
КГЦ231А.50-32-380	50-32	380	674		Сельхозтехника	2 отв. М20?1.5	Вилка с отв. D=16, отв. D=16	"Открывания секций опрыскив. ОП 2000, 3000 ОАО ""Мекосан"" г. Иваново."
КГЦ231А-01.50-32-610	50-32	610	920		Сельхозтехника	2 отв. М20?1.5	Вилка с отв. D=16, отв. D=16	"Открывания секций опрыскив. ОП 2000, 3000 ОАО ""Мекосан"" г. Иваново."
КГЦ232.2-56-1400	56-36	1400	1000	Телескопический	Сельхозтехника	1 штуц. М20?1.5	Отв. D=20	"Подъём опрыскивателя ОП-2000 для ОАО ""Мекосан"" г. Иваново."
КГЦ234.90-50-250	90-50	250	465		МТЗ	2 отв. М20?1.5	Отв. D=25, 37	Навес. BELARUS-1222/1500/2000/3000/3500
КГЦ234Б.90-50-250	90-50	250	465		МТЗ	2 отв. М20?1.5	Отв. D=25, 37	Подъем задней и передней навески тракторов МТЗ.
КГЦ236.160-80-400	160-80	400	894		Погрузчики	2 штуц. М33?2	Проуш. с ШСЛ80 S=100	Для ковша погрузчиков ТО-18Б, -18Д
КГЦ236-01.160-80-500	160-80	500	1030		Погрузчики	2 штуц. М33?2	Проуш. с ШСЛ80 S=100	Для ковша погрузчиков ТО-28
КГЦ237А-04.80-50-320	80-50	320	620	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС40 S=40	Оборот плуга ПОПГ-4-40. 
КГЦ237А-05.80-50-360	80-50	360	660	Унифицированный		2 отв. М20?1.5	Проуш. с ШС40 S=40	
КГЦ237А-07.80-50-450	80-50	450	750	Унифицированный		2 отв. М20?1.5	Проуш. с ШС40 S=40	
КГЦ241А-02.80-40-250	80-40	250	615	Унифицированный		2 отв. М20?1.5	Проуш. с ШС40 S=40	Управл. раб. орг. косилки К-78, ОКН
КГЦ241-01.80-40-200	80-40	200	500	Унифицированный		2 отв. М20?1.5	Проуш. с ШС40 S=40	Подъем колес плуга ПОПГ-4-40. 
КГЦ241-02.80-40-250	80-40	250	550	Унифицированный		2 отв. М20?1.5	Проуш. с ШС40 S=40	6712 машина
КГЦ241-03.80-40-280	80-40	280	580	Унифицированный		2 отв. М20?1.5	Проуш. с ШС40 S=40	8047А
КГЦ241-04.80-40-320	80-40	320	620	Унифицированный	Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС40 S=40	Оборот плуга ПОПГ-4-40. 
КГЦ241-05.80-40-360	80-40	360	660	Унифицированный		2 отв. М20?1.5	Проуш. с ШС40 S=40	6622, 6632, 6811 машины
КГЦ241-06.80-40-400	80-40	400	700	Унифицированный		2 отв. М20?1.5	Проуш. с ШС40 S=40	
КГЦ241-07.80-40-450	80-40	450	750	Унифицированный		2 отв. М20?1.5	Проуш. с ШС40 S=40	Подъем платформы транспортировщика ТП-10-1
КГЦ241-09.80-40-560	80-40	560	860	Унифицированный		2 отв. М20?1.5	Проуш. с ШС40 S=40	
КГЦ241-10.80-40-630	80-40	630	930	Унифицированный	Погрузчики	2 отв. М20?1.5	Проуш. с ШС40 S=40	Выдвижение стрелы погрузчика ПМС-80
КГЦ241-14.80-40-1000	80-40	1000	1300	Унифицированный		2 отв. М20?1.5	Проуш. с ШС40 S=40	
КГЦ243.55-45-630	55-45	630	965	Плунжерный	Лида-Гомель	1 штуц. М18?1.5	Отв. D=36	"Подъёма жатки зерноуборочного комбайна ""Лида 1300""."
КГЦ246-02.40-20-200	40-20	200	390		Лида-Гомель	2 отв. М20?1.5	Проуш. с ШС20 S=20 	
КГЦ247-01.50-30-160	50-30	160	395		Сельхозтехника	2 отв. М20?1.5	Отв. D=25	"Управление раб. органами сельскох. машин  "" Бобруйскагромаш"""
КГЦ247-02.50-30-200	50-30	200	435		Сельхозтехника	2 отв. М20?1.5	Отв. D=25	"Управление раб. органами сельскох. машин  "" Бобруйскагромаш"""
КГЦ247-03.50-30-250	50-30	250	485		Сельхозтехника	2 отв. М20?1.5	Отв. D=25	"Управление раб. органами сельскох. машин  "" Бобруйскагромаш"""
КГЦ247-04.50-30-320	50-30	320	555		Сельхозтехника	2 отв. М20?1.5	Отв. D=25	"Управление раб. органами сельскох. машин  "" Бобруйскагромаш"""
КГЦ247-05.50-30-400	50-30	400	635		Сельхозтехника	2 отв. М20?1.5	Отв. D=25	"Управление раб. органами сельскох. машин  "" Бобруйскагромаш"""
КГЦ247-07.50-30-500	50-30	500	735		Сельхозтехника	2 отв. М20?1.5	Отв. D=25	"Управление раб. органами сельскох. машин  "" Бобруйскагромаш"""
КГЦ262-01.80-40-400	80-40	400	700		Сельхозтехника	2 отв. М20?1.5	Отв. D=40	Навесное устройство культиваторов АКШ3.6, АКШ60.
КГЦ262-02.80-40-630	80-40	630	930		Сельхозтехника	2 отв. М20?1.5	Отв. D=40	Навесное устройство культиваторов АКШ7.2
КГЦ263А.80-50-200	80-50	200	445		Экскаваторы	2 отв. М20?1.5	Проуш. с ШС30 S=30 	Челюстной ковш А-702ЕМ,702ЕА, А-134, А-703М, А-702ЕМ-03
КГЦ264.90-50-250	90-50	250	571		Лида-Гомель	2 отв. М27?2	Проуш. с ШС35 S=25	Навесное устройство УЭС-2-250А
КГЦ265.63-40-200	63-40	200	425		МТЗ	2 отв. М20?1.5	Вилка с отв. D=25, отв. D=25	Передняя навеска BELARUS-1221/1222/1222.3/1523 
КГЦ265-01.63-40-200	63-40	200	425		МТЗ	2 отв. М20?1.5	Вилка с отв. D=25, отв. D=25	Передняя навеска BELARUS-821/921 
КГЦ283А.2-120-854	120-100	856	460	Телескопический	Сельхозтехника	1 отв. КГ3/4	Цапфы d=50, сфера d=55	Подъем платформы прицепа ПСТБ
КГЦ295.72-63-630	72-63	630	965	Плунжерный	Лида-Гомель	1 штуц. М18?1.5	Отв. D=36	"Подъёма жатки сеялки ""Лидагропроммаш ""."
КГЦ300.40-25-160	40-25	160	356		Лида-Гомель	2 отв. М16?1.5	Проуш. с ШС20 S=20, резьба М16?1.5	"Блокировки наклонной камеры комбайна ""Лида-1300""."
КГЦ305.25-18-10	25-18	10	240		Лида-Гомель	2 отв. М14?1.5	Отв. D=16	"Разблокировка фиксирующего устройства агрегата АПП-6П ""Лидагропроммаш"""
КГЦ308.110-50-450	110-50	450	750		Лида-Гомель	2 отв. М18?1.5	Вилки с отв. D=30	"Складывания культиватора агрегата АПП-6А ""Лидагропроммаш""."
КГЦ308-01.110-50-400	110-50	400	700		Сельхозтехника	2 отв. М16?1.5	Вилки с отв. D=35	"Оборотного плуга ""KVERLELAND""."
КГЦ310А.4-120-1024	120-100-80-56	1024	512	Телескопический	Спецтехника	1 отв. М20?1.5	Опоры	Подъём кузова автосамосвалов марки ЗИЛ
КГЦ312.00.000   	63-40	120	350		МТЗ	2 отв. М14?1.5	Отв. D=22	Задней навески BELARUS-451/651/311/М/422/422.1/М
КГЦ312.63-40-120	63-40	120	350		МТЗ	2 отв. М14?1.5	Отв. D=22	"Гидроцилиндр задней навески тракторов ""Беларус - 322/422""."
КГЦ314.110-56-280	110-56	280	680		Экскаваторы	2 отв. М27?2	Проуш. с ШС50 S=50	Опускания лап А-702ЕА, А-702ЕВ, ОКН
КГЦ314-01.110-56-400	110-56	400	830		Экскаваторы	2 отв. М27?2	Проуш. с ШС50 S=50	"Подъем стрелы, рукоятки опор экскаваторов: Э0-2628, -2629, -2101, -2203, ""Борекс""."
КГЦ314-03.110-56-1120	110-56	1120	1520		Экскаваторы	2 отв. М27?2	Проуш. с ШС50 S=50	Стрела ТО-49
КГЦ314-04.110-56-555	110-56	555	910		Погрузчики	2 отв. М27?2	Проуш. с ШС50 S=50	"Гидроцилиндр навесного оборудования погрузчика  ""Амкодор 371АС"""
КГЦ314-05.110-56-700	110-56	700	1075		Погрузчики	2 отв. М27?2	Проуш. с ШС50 S=50	650 машина
КГЦ314-07.110-56-210	110-56	210	570		Спецтехника	2 отв. М27?2	Проуш. с ШС50 S=50	Гидроцилиндр дробильного оборудования
КГЦ314-08.110-56-900	110-56	900	1300		Экскаваторы	2 отв. М27?2	Проуш. с ШС50 S=50	Подъем стрелы А-702ЕА, А-702ЕВ, А-702ЕМ
КГЦ315.63-32-500	63-32	500	800		Лида-Гомель	2 отв. М14?1.5	Проуш. с ШС25 S=20 	Поворот выгрузной трубы КЗC-1218. КЗС-10К
КГЦ319.80-56-400	80-56	400	2100		Погрузчики	2 отв. М20?1.5	Проуш. с ШС40 S=36 	Подъем ковша ТО-49
КГЦ321.3-100-710	100-80-56	710	400	Телескопический	Сельхозтехника	1 штуц. М20?1.5	Сфера d=50, отв. сфера d=50	Гидроцилиндр подъёма прицепов 1-ПТС-2 и 1-ПТС-2,5 трактора Т-25
КГЦ323.110-70-900	110-70	900	1400		Экскаваторы	Колодки фланцевого зажима	Отв. D=85	Ковш экскаваторов ЕК14, ЕТ14, ЕТ16.
КГЦ324.110-80-1100	110-80	1100	1615		Экскаваторы	Колодки фланцевого зажима	Отв. D=105	Стрела экскаваторов ЕК12.
КГЦ325.110-70-1100	110-70	1100	1615		Экскаваторы	Колодки фланцевого зажима	Отв. D=85, 105	Стрела экскаваторов ЕК14, ЕТ14, ЕТ16.
КГЦ327.100-63-900	100-63	900	1400		Экскаваторы	Колодки фланцевого зажима	Отв. D=85	Ковш экскаватора ЕК12.
КГЦ328.100-63-1000	100-63	1000	1515		Экскаваторы	Колодки фланцевого зажима	Отв. D=85, 105	Стрелы экскаватора ЕК12.
КГЦ329.80-56-160	80-56	160	510		Экскаваторы	2 отв. М27?2	Проуш. с ШС40 S=40	"Открывание ковша экскаваторов: ЭО-2201, ЭО-2203, ""Борекс""."
КГЦ329-01.80-56-280	80-56	280	645		Экскаваторы	2 отв. М27?2	Проуш. с ШС40 S=40	Отвал ЭО 2621В
КГЦ329-02.80-56-400	80-56	400	765		Экскаваторы	2 отв. М27?2	Проуш. с ШС40 S=40	Поворот бульдозер. отвала А-702ЕВ-02
КГЦ329-03.80-56-560	80-56	560	925		Экскаваторы	2 отв. М27?2	Проуш. с ШС40 S=40	Стрела 702ЕМ,702ЕА,ТО-49
КГЦ329-04.80-56-630	80-56	630	1010		Экскаваторы	2 отв. М27?2	Проуш. с ШС40 S=40	Стрела ТО-49, ЭИ-2203, ДЗ-133
КГЦ329-05.80-56-700	80-56	700	1100		Экскаваторы	2 отв. М27?2	Проуш. с ШС40 S=40	"Управление ковшом экскаваторов: ЭО-2628, ЭО-2201, ЭО-2203, ""Борекс"","
КГЦ329-06.80-56-900	80-56	900	1250		Экскаваторы	2 отв. М27?2	Проуш. с ШС40 S=40	Выворот ковша заднего А-702ЕА, А-702ЕВ, А-702ЕМ, А-703М
КГЦ333А.50-30-320	50-30	320	555		Спецтехника	2 отв. М22?1.5	Проуш. S=28 с ШС25	Гидроцилиндр механизма подъема капота РЕМ-25
КГЦ333-02.50-30-200	50-30	200	435		Лида-Гомель	2 отв. М20?1.5	Проуш. с ШС25 S=28	КПК-2-02, поворот колес
КГЦ333-05.50-30-400	50-30	400	635		Лида-Гомель	2 отв. М20?1.5	Проуш. с ШС25 S=28	Подъем подкапывающей секции КПК-2-02
КГЦ337А.50-32-320	50-32	320	640		Погрузчики	2 штуц. М22?1.5	Проуш. с ШС30 с защитой 	Рулевое управление погрузчика ТО-30.
КГЦ338.125-56-630	125-56	630	1045		Погрузчики	2 штуц. М27?1.5	Отв. D=90	Подьем стрелы погрузчиков ТО-30, ПК-22, ПК-27.
КГЦ339.125-56-400	125-56	400	887		Погрузчики	2 штуц. М27?1.5	Отв. D=90	Подьем ковша погрузчиков ПК-27, ПК-22, ТО-30.
КГЦ340А.100-63-280	100-63	280	620		Экскаваторы	2 отв. G3/8?	Проуш. S=50 мм с ШС55	EW-1400, EW-1400А
КГЦ343.100-80-2200	100-80	2200	2600		Погрузчики	2 отв. М27?2	Проуш. с ШС50 S=50	Выдвижения стрелы погрузчика 527
КГЦ348-01.125-56-400	125-56	400	797		Сельхозтехника	2 отв. М27?1.5	Проуш. с ШС50 S=50	Навеска К-700
КГЦ350.110-56-250	110-56	250	490		МТЗ	2 отв. М20?1.5	Отв. D=37	Задней навески BELARUS-2103/3000/4522
КГЦ350Б.110-56-250	110-56	250	490		МТЗ	2 отв. М18?1.5	Отв. D=37	"Подъёма заднего навесного устройства тракторов ""МТЗ 2522"", ""МТЗ 2822"", ""МТЗ 3022""."
КГЦ351.80-28-360	80-28	360	621		МАЗ-КаМАЗ	2 отв. М16?1.5	Шарниры	" Гидроусилителя руля автобусов АМАЗ и ""Нёман""; автом. МАЗ."
КГЦ351-01.80-28-280	80-28	280	546		МАЗ-КаМАЗ	2 отв. М16?1.5	Шарниры	" Гидроусилителя руля автобусов АМАЗ и ""Нёман""; автом. МАЗ."
КГЦ351-02.80-28-360	80-28	360	621		МАЗ-КаМАЗ	2 отв. М16?1.5	Шарниры	" Гидроусилителя руля автобусов АМАЗ и ""Нёман""; автом. МАЗ."
КГЦ351-03.80-28-280	80-28	280	541		МАЗ-КаМАЗ	2 отв. М16?1.5	Шарниры	" Гидроусилителя руля автобусов АМАЗ и ""Нёман""; автом. МАЗ."
КГЦ353.80-40-200	80-40	200	515		МТЗ	2 отв. М20?1.5	Вилки с отв. D=25	Задней навески BELARUS-80Х/100X 
КГЦ356.50-30-330	50-30	330	517		МТЗ	2 отв. G3/8?	Проуш. S=20 с отв. D=15	"Гидроцилиндр лыжнепрокатчика машины ""БЕЛАРУС"" МСУ-622"
КГЦ359.63-56-465	63-56	465	1204	Плунжерный	Лида-Гомель	1 штуц. М18?1.5	Отв. D=36	"Подъём жатки зерноуборочного комбайна ""Лида-1600""."
КГЦ363-01.40-20-160	40-20	160	350		Гомсельмаш	2 отв. М20?1.5	Проуш. S=20 с ШС20 	Гидросистема рабочих органов и рулевого управления
КГЦ363-02.40-20-200	40-20	200	390		Гомсельмаш	2 отв. М20?1.5	Проуш. S=20 с ШС20 	Гидросистема рабочих органов и рулевого управления
КГЦ368.80-56-560	80-56	560	925		Экскаваторы	2 отв. М20?1.5	Проуш. с ШС40 S=40	Опускания лап А-702ЕМ, А-703М, 9531-03
КГЦ369.125-60-710	125-60	710	1162		Погрузчики	2 штуц. М33?2	Вилка с отв D=60, отв. D=90	Подъём стрелы фронтального погрузчика ТО-18Б
КГЦ369-01.125-60-710	125-60	710	1072		Погрузчики	2 штуц. М33?2	Отв. D=90	Подъём стрелы фронтального погрузчика ТО-18Б
КГЦ371А.110-90-1000	110-90	1000	1375		Коммунальная	2 отв. К1/2	Сфера d=50	Плиты пресса мусоровозов типа  КО-440.
КГЦ372.63-56-630	63-56	630	965	Плунжерный	Лида-Гомель	1 штуц. М18?1.5	Отв. D=36	"Подъёма жатки зерноуборочного комбайна ""Лида 1300""."
КГЦ373А.63-40-560	63-40	560	1405		Экскаваторы	2 отв. М27?2	Проуш. с ШС40 S=36 	Выворот ковша перед.А-702ЕА, А-702ЕМ, А-703М, А-134
КГЦ374А.80-56-560	80-56	560	925		Экскаваторы	2 отв. М27?2	Проуш. с ШС40 S=40	Подъем перед. стрелы А-702ЕА, А-702ЕМ, А-703М, А-134
КГЦ375А.4-120-1273	120-100-80-56	1273	175	Телескопический	Сельхозтехника	1 отв. М22?1.5	Цапфы d=50, опора	Подъём тракторного прицепа ПТ-6/2.
КГЦ377.4-120-864	120-100-80-63	864	428	Телескопический	Коммунальная	1 штуц. М20?1.5	2 сферы d=50 мм	Подъём кузова и привода плиты коммунал. машин типа КО-415.
КГЦ379.110-56-140	110-56	140	410		Экскаваторы	3 отв. М22?1.5	Проуш. с ШС50 S=50, отв.  D=50 в корпусе	"Экскаваторы Э0-2628, -2629, -2101, -2203, ""Борекс"",  ""Амкодор 702ЕМ"""
КГЦ379-01.110-56-225	110-56	225	495		Экскаваторы	3 отв. М22?1.5	Проуш. с ШС50 S=50, отв.  D=50 в корпусе	Поворот колонки А-702ЕА, А-702ЕВ, А-702ЕМ, А-703М
КГЦ379-02.110-56-640	110-56	640	910		Коммунальная	3 отв. М22?1.5	Проуш. с ШС50 S=50, отв.  D=50 в корпусе	Дорожная техника
КГЦ380М.5-160-2400	160-140-120-100-80	2400	245	Телескопический	Коммунальная	1 штуц. М26?1.5	Цапфы d=50, сфера D=75	Полуприцепа ПСТ-14, ПСТ-18
КГЦ382.80-50-710	80-50	710	651		Автогрейдеры	2 отв. К1/2	Цапфы d=40	"Автогрейдер ""ГС-14.02"""
КГЦ382-01.80-50-1000	80-50	1000	421		Автогрейдеры	2 отв. К1/2	Цапфы d=40	"Автогрейдер ""ГС-14.02"""
КГЦ383.80-50-400	80-50	400	300		Автогрейдеры	2 отв. К1/2	Цапфы d=40, проуш. с ШС40	Кирковщик автогрейдера ГС-1402. 
КГЦ384.80-50-280	80-50	280	650		Автогрейдеры	2 отв. К1/2	Проуш. с ШС40 S=35	"Гидроцилиндр изменения угла резания автогрейдеров ""ГС-14.02"" "
КГЦ390А.110-63-900	110-63	900	1300		Экскаваторы	2 отв. М27?2	Проуш. с ШС50 S=50	А-702ЕА, А-702ЕВ, А-702ЕМ
КГЦ391.50-25-100 	50-25	100	290		Коммунальная	2 отв. М20?1.5	Проуш. с ШС25 S=25	Управление раб. органами сельскох. коммунально-уборочной техники. 
КГЦ394.125-80-400	125-80	400	860		Автогрейдеры	2 отв. К1/2	Проуш. с ШС40 S=40	Гидроцилиндр бульдозера автогрейдера ГС-14.02. 
КГЦ396М.125-80-710	125-80	710	1210		Экскаваторы	Колодки фланцевого зажима	Проуш. с ШСЛ70 S=75	Ковша ЭО-3223, EW-1400
КГЦ396М-01.125-80-1000	125-80	1000	1500		Экскаваторы	Колодки фланцевого зажима	Проуш. с ШСЛ70 S=75	Стрелы ЭО-3223, EW-1400,ЭО-3223А, EW-1400А
КГЦ396М-02.125-80-1100	125-80	1100	1600		Экскаваторы	Колодки фланцевого зажима	Проуш. с ШСЛ70 S=75	Рукояти ЭО-3223, EW-1400,ЭО-3223А, EW-1400А
КГЦ396М-03.125-80-710	125-80	710	1210		Экскаваторы	Колодки фланцевого зажима	Проуш. с ШСЛ70 S=75	Ковша ЭО-3223А, EW-1400А
КГЦ399.80-50-400	80-50	400	800		Погрузчики	2 штуц. М22?1.5	Вилка с отв. D=40, проуш. с ШС40 S=50  	Рулевое управление погрузчиков: ПК-2202, ПК-2702, ПК-3302.
